edu.ncsu.lib.geodata/drg/historic/clarksvilleva-1943.jp2:http {'arcFileParition': 2957, 'compressedSize': 1879007, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908521298, 'arcFileOffset': 9268544}
edu.ncsu.lib.geodata/drg/historic/clarksvilleva-1943_lnr.jp2:http {'arcFileParition': 2958, 'compressedSize': 2095422, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908481062, 'arcFileOffset': 46295843}
edu.ncsu.lib.geodata/drg/historic/clarksvilleva-1957.jp2:http {'arcFileParition': 2958, 'compressedSize': 1879312, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909683356, 'arcFileOffset': 82958861}
edu.ncsu.lib.geodata/drg/historic/clarksvilleva-1957_lnr.jp2:http {'arcFileParition': 2990, 'compressedSize': 2095404, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908240201, 'arcFileOffset': 16982749}
edu.ncsu.lib.geodata/drg/historic/clifdale-1948.jp2:http {'arcFileParition': 2990, 'compressedSize': 1878275, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908723623, 'arcFileOffset': 97374174}
edu.ncsu.lib.geodata/drg/historic/clifdale-1948_lnr.jp2:http {'arcFileParition': 2991, 'compressedSize': 2082825, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908240309, 'arcFileOffset': 39905641}
edu.ncsu.lib.geodata/drg/historic/clover-1947.jp2:http {'arcFileParition': 2992, 'compressedSize': 1878181, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908240868, 'arcFileOffset': 1771404}
edu.ncsu.lib.geodata/drg/historic/clover-1947_lnr.jp2:http {'arcFileParition': 2992, 'compressedSize': 2095452, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908826620, 'arcFileOffset': 56855141}
edu.ncsu.lib.geodata/drg/historic/coharie-1909.jp2:http {'arcFileParition': 2993, 'compressedSize': 1880020, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908515335, 'arcFileOffset': 46065869}
edu.ncsu.lib.geodata/drg/historic/coharie-1909_lnr.jp2:http {'arcFileParition': 2994, 'compressedSize': 2094901, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908240394, 'arcFileOffset': 51354021}
edu.ncsu.lib.geodata/drg/historic/columbia-1943.jp2:http {'arcFileParition': 2994, 'compressedSize': 1879877, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909122046, 'arcFileOffset': 69608958}
edu.ncsu.lib.geodata/drg/historic/columbia-1943_lnr.jp2:http {'arcFileParition': 4162, 'compressedSize': 2094683, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909483399, 'arcFileOffset': 49065606}
edu.ncsu.lib.geodata/drg/historic/cowee-1907.jp2:http {'arcFileParition': 3033, 'compressedSize': 1876944, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908233979, 'arcFileOffset': 20834447}
edu.ncsu.lib.geodata/drg/historic/cowee-1907_lnr.jp2:http {'arcFileParition': 3033, 'compressedSize': 2095439, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909335290, 'arcFileOffset': 89016628}
edu.ncsu.lib.geodata/drg/historic/cowpens-1959.jp2:http {'arcFileParition': 3034, 'compressedSize': 1877312, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908443819, 'arcFileOffset': 89980980}
edu.ncsu.lib.geodata/drg/historic/cowpens-1959_lnr.jp2:http {'arcFileParition': 3035, 'compressedSize': 2094196, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908451654, 'arcFileOffset': 27162346}
edu.ncsu.lib.geodata/drg/historic/cranberry-1902.jp2:http {'arcFileParition': 3035, 'compressedSize': 1878286, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908907735, 'arcFileOffset': 77841783}
edu.ncsu.lib.geodata/drg/historic/cranberry-1902_lnr.jp2:http {'arcFileParition': 3036, 'compressedSize': 2095421, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908487634, 'arcFileOffset': 31368938}
edu.ncsu.lib.geodata/drg/historic/creedmoor-1943.jp2:http {'arcFileParition': 3037, 'compressedSize': 1877508, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908234483, 'arcFileOffset': 4682796}
edu.ncsu.lib.geodata/drg/historic/creedmoor-1943_lnr.jp2:http {'arcFileParition': 3037, 'compressedSize': 2095022, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908881078, 'arcFileOffset': 43350778}
edu.ncsu.lib.geodata/drg/historic/critz-1926.jp2:http {'arcFileParition': 35, 'compressedSize': 1876983, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346906816650, 'arcFileOffset': 84774686}
edu.ncsu.lib.geodata/drg/historic/critz-1926_lnr.jp2:http {'arcFileParition': 35, 'compressedSize': 2095121, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908183426, 'arcFileOffset': 352622}
edu.ncsu.lib.geodata/drg/historic/critz-1928.jp2:http {'arcFileParition': 3079, 'compressedSize': 1878162, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908491518, 'arcFileOffset': 79776253}
edu.ncsu.lib.geodata/drg/historic/critz-1928_lnr.jp2:http {'arcFileParition': 3079, 'compressedSize': 2095445, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908967661, 'arcFileOffset': 30579158}
edu.ncsu.lib.geodata/drg/historic/dahlondega-1903.jp2:http {'arcFileParition': 3080, 'compressedSize': 1878837, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908241154, 'arcFileOffset': 66241728}
edu.ncsu.lib.geodata/drg/historic/dahlondega-1903_lnr.jp2:http {'arcFileParition': 3080, 'compressedSize': 2095266, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909726085, 'arcFileOffset': 31400961}
edu.ncsu.lib.geodata/drg/historic/danville-1925.jp2:http {'arcFileParition': 3081, 'compressedSize': 1877568, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908743669, 'arcFileOffset': 5538130}
edu.ncsu.lib.geodata/drg/historic/danville-1925_lnr.jp2:http {'arcFileParition': 3081, 'compressedSize': 2095534, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909184945, 'arcFileOffset': 65778626}
edu.ncsu.lib.geodata/drg/historic/deeprun-1958.jp2:http {'arcFileParition': 3082, 'compressedSize': 1879393, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908756509, 'arcFileOffset': 43508318}
edu.ncsu.lib.geodata/drg/historic/deeprun-1958_lnr.jp2:http {'arcFileParition': 3083, 'compressedSize': 2095355, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908232071, 'arcFileOffset': 42598768}
edu.ncsu.lib.geodata/drg/historic/denton-1957.jp2:http {'arcFileParition': 3083, 'compressedSize': 1878755, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908823779, 'arcFileOffset': 37902797}
edu.ncsu.lib.geodata/drg/historic/denton-1957_lnr.jp2:http {'arcFileParition': 3084, 'compressedSize': 2095118, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908713537, 'arcFileOffset': 8444418}
edu.ncsu.lib.geodata/drg/historic/draper-1926.jp2:http {'arcFileParition': 3115, 'compressedSize': 1878757, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908242752, 'arcFileOffset': 39879517}
edu.ncsu.lib.geodata/drg/historic/draper-1926_lnr.jp2:http {'arcFileParition': 3115, 'compressedSize': 2095451, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908242752, 'arcFileOffset': 37446126}
edu.ncsu.lib.geodata/drg/historic/ducktown-1909.jp2:http {'arcFileParition': 3115, 'compressedSize': 1874644, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909523163, 'arcFileOffset': 31709555}
